2022001, C
2022002, A-
2022003, B-
2022004, B
2022005, C
2022006, A-
2022007, B
2022008, F
2022009, B-
2022010, D
2022011, C
2022012, A
2022013, C
2022014, F
2022015, B
2022016, D
2022017, B
2022018, B-
2022019, D
2022020, A-
2022021, B
2022022, F
2022023, D
2022024, C
2022025, B-
2022026, C-
2022027, D
2022028, C
2022029, C
2022030, C-
2022031, C
2022032, B
2022033, B
2022034, B
2022035, D
2022036, C
2022037, B-
2022038, B-
2022039, B-
2022040, B-
2022041, D
2022042, B-
2022043, B
2022044, B-
2022045, F
2022046, F
2022047, C-
2022048, B
2022049, B-
2022050, B
2022051, D
2022052, C
2022053, F
2022054, F
2022055, F
2022056, C
2022057, C
2022058, C
2022059, C
2022060, C-
2022061, C
2022062, D
2022063, B-
2022064, C
2022065, C
2022066, B-
2022067, A-
2022068, D
2022069, B-
2022070, C-
2022071, B-
2022072, B-
2022073, C-
2022074, B
2022075, B-
2022076, D
2022077, B-
2022078, C
2022079, C
2022080, D
2022081, C-
2022082, C
2022083, C
2022084, B
2022085, C
2022086, C
2022087, D
2022088, B-
2022089, B-
2022090, C
2022091, B-
2022092, F
2022093, B-
2022094, C
2022095, D
2022096, B-
2022097, B
2022098, B
2022099, D
2022100, D
