2022001, 9, 4, 15, 58
2022002, 19, 30, 35, 80
2022003, 16, 7, 34, 59
2022004, 18, 24, 51, 45
2022005, 18, 5, 2, 60
2022006, 19, 23, 25, 81
2022007, 20, 32, 30, 58
2022008, 7, 3, 3, 12
2022009, 3, 13, 45, 60
2022010, 17, 37, 2, 13
2022011, 15, 16, 48, 30
2022012, 18, 40, 50, 76
2022013, 2, 5, 44, 53
2022014, 6, 40, 4, 2
2022015, 6, 41, 51, 47
2022016, 3, 17, 39, 17
2022017, 18, 40, 11, 74
2022018, 0, 14, 47, 62
2022019, 8, 0, 44, 25
2022020, 8, 40, 47, 71
2022021, 18, 25, 51, 57
2022022, 3, 22, 9, 14
2022023, 15, 24, 1, 28
2022024, 13, 25, 7, 44
2022025, 8, 10, 24, 65
2022026, 12, 25, 42, 3
2022027, 7, 4, 19, 38
2022028, 6, 16, 41, 38
2022029, 8, 1, 27, 68
2022030, 6, 17, 50, 11
2022031, 3, 13, 18, 64
2022032, 17, 30, 35, 54
2022033, 16, 40, 21, 64
2022034, 12, 22, 46, 61
2022035, 13, 27, 34, 2
2022036, 1, 25, 12, 49
2022037, 16, 14, 41, 44
2022038, 20, 31, 10, 50
2022039, 1, 31, 42, 37
2022040, 20, 32, 10, 52
2022041, 1, 25, 48, 4
2022042, 2, 18, 47, 52
2022043, 2, 40, 29, 73
2022044, 21, 36, 36, 32
2022045, 10, 27, 24, 0
2022046, 6, 8, 17, 25
2022047, 15, 25, 0, 40
2022048, 11, 33, 30, 55
2022049, 21, 19, 14, 66
2022050, 21, 24, 18, 80
2022051, 1, 29, 13, 27
2022052, 9, 1, 48, 48
2022053, 16, 1, 36, 14
2022054, 12, 4, 4, 10
2022055, 9, 15, 8, 8
2022056, 8, 13, 1, 77
2022057, 8, 41, 17, 29
2022058, 18, 19, 1, 49
2022059, 3, 28, 15, 54
2022060, 10, 4, 21, 49
2022061, 9, 41, 38, 20
2022062, 1, 29, 13, 21
2022063, 15, 24, 33, 55
2022064, 8, 14, 36, 35
2022065, 15, 5, 41, 43
2022066, 12, 14, 29, 56
2022067, 20, 35, 29, 76
2022068, 4, 19, 20, 24
2022069, 12, 38, 13, 46
2022070, 19, 16, 37, 13
2022071, 0, 16, 45, 52
2022072, 13, 17, 18, 64
2022073, 16, 37, 22, 2
2022074, 18, 41, 22, 64
2022075, 8, 30, 16, 53
2022076, 17, 6, 36, 11
2022077, 21, 15, 34, 50
2022078, 21, 0, 23, 63
2022079, 2, 34, 30, 30
2022080, 20, 34, 1, 12
2022081, 8, 5, 9, 55
2022082, 16, 18, 19, 40
2022083, 15, 41, 11, 26
2022084, 4, 32, 16, 76
2022085, 12, 28, 28, 26
2022086, 1, 23, 40, 29
2022087, 19, 5, 50, 6
2022088, 8, 34, 25, 57
2022089, 0, 12, 42, 62
2022090, 3, 14, 43, 42
2022091, 4, 16, 48, 46
2022092, 8, 3, 8, 4
2022093, 8, 16, 20, 79
2022094, 11, 18, 36, 30
2022095, 21, 21, 2, 30
2022096, 14, 4, 30, 76
2022097, 3, 41, 43, 45
2022098, 5, 26, 28, 69
2022099, 18, 0, 43, 11
2022100, 14, 25, 13, 13
